,abs,train_step,solver_step
0,5.606659889221191,64000,0
1,1.8038703203201294,64000,1
2,0.5465064644813538,64000,2
3,0.1467854529619217,64000,3
4,0.04467308521270752,64000,4
5,0.014734272845089436,64000,5
6,0.004417690448462963,64000,6
7,0.001620312687009573,64000,7
8,0.0005609845393337309,64000,8
9,0.00019852888362947851,64000,9
10,0.00019852888362947851,64000,10
11,0.00019852888362947851,64000,11
0,5.6023850440979,65000,0
1,1.883731484413147,65000,1
2,0.7880098223686218,65000,2
3,0.2060546875,65000,3
4,0.068393275141716,65000,4
5,0.026193656027317047,65000,5
6,0.012617888860404491,65000,6
7,0.004440309479832649,65000,7
8,0.0019727686885744333,65000,8
9,0.0008069317555055022,65000,9
10,0.0007112128078006208,65000,10
11,0.0005247045774012804,65000,11
0,5.775638580322266,66000,0
1,1.9012709856033325,66000,1
2,0.5590177178382874,66000,2
3,0.1358109712600708,66000,3
4,0.043291281908750534,66000,4
5,0.015227439813315868,66000,5
6,0.005035079084336758,66000,6
7,0.0017174358945339918,66000,7
8,0.0005897859809920192,66000,8
9,0.0002186375786550343,66000,9
10,7.90858393884264e-05,66000,10
11,7.90858393884264e-05,66000,11
0,5.705001354217529,67000,0
1,1.9098703861236572,67000,1
2,0.5888394117355347,67000,2
3,0.1721249520778656,67000,3
4,0.052707161754369736,67000,4
5,0.017507748678326607,67000,5
6,0.00539618032053113,67000,6
7,0.001959224697202444,67000,7
8,0.0007468685507774353,67000,8
9,0.0002485737786628306,67000,9
10,0.0002485737786628306,67000,10
11,0.0002485737786628306,67000,11
0,5.70820426940918,68000,0
1,1.888168215751648,68000,1
2,0.5890576243400574,68000,2
3,0.17231331765651703,68000,3
4,0.057513996958732605,68000,4
5,0.020766714587807655,68000,5
6,0.007049471139907837,68000,6
7,0.002491408260539174,68000,7
8,0.0008435343625023961,68000,8
9,0.00029161517159081995,68000,9
10,0.0001026764657581225,68000,10
11,0.0001026764657581225,68000,11
0,5.604083061218262,69000,0
1,1.9024477005004883,69000,1
2,0.5637036561965942,69000,2
3,0.13272766768932343,69000,3
4,0.04574870690703392,69000,4
5,0.014192773029208183,69000,5
6,0.004498055204749107,69000,6
7,0.001602720469236374,69000,7
8,0.0005790434661321342,69000,8
9,0.0002106428873958066,69000,9
10,0.0002106428873958066,69000,10
11,0.0002106428873958066,69000,11
0,5.64675760269165,70000,0
1,1.8181369304656982,70000,1
2,0.5261040925979614,70000,2
3,0.14054961502552032,70000,3
4,0.043924640864133835,70000,4
5,0.014880388975143433,70000,5
6,0.004759086295962334,70000,6
7,0.0015779573004692793,70000,7
8,0.000535730563569814,70000,8
9,0.00018899812130257487,70000,9
10,0.00018899812130257487,70000,10
11,0.00018899812130257487,70000,11
0,5.518814563751221,71000,0
1,1.8507543802261353,71000,1
2,0.5638204216957092,71000,2
3,0.13313648104667664,71000,3
