,rel,train_step,solver_step
2,0.025132087990641594,32000,2
3,0.007386786863207817,32000,3
4,0.0019036117009818554,32000,4
5,0.0006679571815766394,32000,5
6,0.00017708184896036983,32000,6
7,6.09626185905654e-05,32000,7
8,1.9668474124046043e-05,32000,8
9,7.429629931721138e-06,32000,9
10,7.429629931721138e-06,32000,10
11,7.429629931721138e-06,32000,11
0,0.25694048404693604,33000,0
1,0.07880695909261703,33000,1
2,0.024686729535460472,33000,2
3,0.007752916309982538,33000,3
4,0.001973393140360713,33000,4
5,0.0006971244583837688,33000,5
6,0.00018331715546082705,33000,6
7,6.764443241991103e-05,33000,7
8,2.233734448964242e-05,33000,8
9,2.233734448964242e-05,33000,9
10,2.233734448964242e-05,33000,10
11,2.233734448964242e-05,33000,11
0,0.25732436776161194,34000,0
1,0.08209742605686188,34000,1
2,0.02550077997148037,34000,2
3,0.007350348401814699,34000,3
4,0.0020855197217315435,34000,4
5,0.0007557172211818397,34000,5
6,0.00021425994054879993,34000,6
7,8.240532770287246e-05,34000,7
8,2.949756890302524e-05,34000,8
9,1.0655016922100913e-05,34000,9
10,1.0655016922100913e-05,34000,10
11,1.0655016922100913e-05,34000,11
0,0.25408628582954407,35000,0
1,0.0796864703297615,35000,1
2,0.024084346368908882,35000,2
3,0.007080601993948221,35000,3
4,0.0019277840619906783,35000,4
5,0.000657289638184011,35000,5
6,0.00017828514683060348,35000,6
7,6.44815299892798e-05,35000,7
8,2.1017367544118315e-05,35000,8
9,7.615907634317409e-06,35000,9
10,7.615907634317409e-06,35000,10
11,7.615907634317409e-06,35000,11
0,0.25926318764686584,36000,0
1,0.08449368178844452,36000,1
2,0.025494210422039032,36000,2
3,0.006934276781976223,36000,3
4,0.0019351068185642362,36000,4
5,0.0006786828162148595,36000,5
6,0.00018948028446175158,36000,6
7,6.850982026662678e-05,36000,7
8,2.325553032278549e-05,36000,8
9,1.010136566037545e-05,36000,9
10,3.444040885369759e-06,36000,10
11,3.4431814128765836e-06,36000,11
0,0.2558661997318268,37000,0
1,0.08540990948677063,37000,1
2,0.025790581479668617,37000,2
3,0.006703508086502552,37000,3
4,0.00201885006390512,37000,4
5,0.0006878574495203793,37000,5
6,0.0002149427164113149,37000,6
7,7.61260962462984e-05,37000,7
8,2.718217729125172e-05,37000,8
9,1.0419596037536394e-05,37000,9
10,3.5558325635065557e-06,37000,10
11,3.5558325635065557e-06,37000,11
0,0.25618109107017517,38000,0
1,0.08145064860582352,38000,1
2,0.024586020037531853,38000,2
3,0.007591683883219957,38000,3
4,0.0020354834850877523,38000,4
5,0.0007376510184258223,38000,5
6,0.00020742250490002334,38000,6
7,7.990137237356976e-05,38000,7
8,2.8321148420218378e-05,38000,8
9,1.0539875802351162e-05,38000,9
10,1.0539875802351162e-05,38000,10
11,1.0539875802351162e-05,38000,11
0,0.2578774094581604,39000,0
1,0.08565094321966171,39000,1
2,0.026229847222566605,39000,2
3,0.008012727834284306,39000,3
4,0.0022597394417971373,39000,4
5,0.0007927098777145147,39000,5
