,rel,train_step,solver_step
7,7.15595597284846e-05,28000,7
8,2.272861820529215e-05,28000,8
9,8.192634595616255e-06,28000,9
10,8.192634595616255e-06,28000,10
11,8.192634595616255e-06,28000,11
0,0.32361409068107605,29000,0
1,0.11598779261112213,29000,1
2,0.03680839762091637,29000,2
3,0.01735616847872734,29000,3
4,0.003707664320245385,29000,4
5,0.001025010016746819,29000,5
6,0.00030063692247495055,29000,6
7,9.291028254665434e-05,29000,7
8,2.74250687652966e-05,29000,8
9,8.490341315336991e-06,29000,9
10,8.490341315336991e-06,29000,10
11,8.490341315336991e-06,29000,11
0,0.32606416940689087,30000,0
1,0.11586064845323563,30000,1
2,0.03816840425133705,30000,2
3,0.014381369575858116,30000,3
4,0.0029618118423968554,30000,4
5,0.0008737324387766421,30000,5
6,0.00023680318554397672,30000,6
7,7.241936691571027e-05,30000,7
8,2.3266666175913997e-05,30000,8
9,2.3266666175913997e-05,30000,9
10,2.3266666175913997e-05,30000,10
11,2.3266666175913997e-05,30000,11
0,0.3306291997432709,31000,0
1,0.11444137245416641,31000,1
2,0.037475403398275375,31000,2
3,0.01317715272307396,31000,3
4,0.002732622902840376,31000,4
5,0.0007921240176074207,31000,5
6,0.00021785196440760046,31000,6
7,7.167858711909503e-05,31000,7
8,2.5755120077519678e-05,31000,8
9,8.085520676104352e-06,31000,9
10,8.085520676104352e-06,31000,10
11,8.085520676104352e-06,31000,11
0,0.33571168780326843,32000,0
1,0.12048575282096863,32000,1
2,0.04068795591592789,32000,2
3,0.015252786688506603,32000,3
4,0.003291725181043148,32000,4
5,0.0008469392778351903,32000,5
6,0.00023623346351087093,32000,6
7,7.619758980581537e-05,32000,7
8,2.3446489649359137e-05,32000,8
9,7.746280061837751e-06,32000,9
10,7.746280061837751e-06,32000,10
11,7.746280061837751e-06,32000,11
0,0.332099586725235,33000,0
1,0.11840388178825378,33000,1
2,0.035970792174339294,33000,2
3,0.015437556430697441,33000,3
4,0.0037373616360127926,33000,4
5,0.0010595981730148196,33000,5
6,0.0003219815553165972,33000,6
7,0.00010374828707426786,33000,7
8,3.332860433147289e-05,33000,8
9,1.1430261110945139e-05,33000,9
10,1.1430261110945139e-05,33000,10
11,1.1430261110945139e-05,33000,11
0,0.33345362544059753,34000,0
1,0.11353706568479538,34000,1
2,0.03775796666741371,34000,2
3,0.013091162778437138,34000,3
4,0.002783564617857337,34000,4
5,0.0008111333008855581,34000,5
6,0.00020592057262547314,34000,6
7,6.603323708986863e-05,34000,7
8,2.1159541574888863e-05,34000,8
9,7.658817594347056e-06,34000,9
10,2.3656568828300806e-06,34000,10
11,2.3656568828300806e-06,34000,11
0,0.34083613753318787,35000,0
1,0.12001173943281174,35000,1
2,0.04017459228634834,35000,2
3,0.016378534957766533,35000,3
4,0.0034190474543720484,35000,4
5,0.0009190959972329438,35000,5
6,0.00026073565823026,35000,6
7,8.182106830645353e-05,35000,7
8,2.4428632968920283e-05,35000,8
9,7.870613444538321e-06,35000,9
10,7.870613444538321e-06,35000,10
11,7.870613444538321e-06,35000,11
0,0.33656391501426697,36000,0
1,0.12256957590579987,36000,1
2,0.04013707488775253,36000,2
3,0.016187844797968864,36000,3
4,0.005227321293205023,36000,4
5,0.001278755720704794,36000,5
6,0.00039080140413716435,36000,6
7,0.00012817584502045065,36000,7
8,4.547490971162915e-05,36000,8
9,1.68999467859976e-05,36000,9
10,6.5764584178396035e-06,36000,10
11,6.381511866493383e-06,36000,11
0,0.3300682008266449,37000,0
1,0.1181550920009613,37000,1
2,0.03919091820716858,37000,2
3,0.04150204733014107,37000,3
4,0.012370564043521881,37000,4
5,0.004429418593645096,37000,5
6,0.0014576598769053817,37000,6
7,0.0006787572056055069,37000,7
8,0.0002339289931114763,37000,8
9,8.778185292612761e-05,37000,9
10,2.677898373804055e-05,37000,10
11,9.93416688288562e-06,37000,11
0,0.333603173494339,38000,0
1,0.11876931041479111,38000,1
2,0.03677481785416603,38000,2
3,0.013212086632847786,38000,3
4,0.0028672064654529095,38000,4
5,0.000858208688441664,38000,5
6,0.00026269498630426824,38000,6
7,8.891025208868086e-05,38000,7
8,3.058681249967776e-05,38000,8
9,1.2918211723444983e-05,38000,9
10,4.951844402967254e-06,38000,10
11,1.6020903785829432e-06,38000,11
0,0.3364010453224182,39000,0
1,0.11797431856393814,39000,1
2,0.03754353150725365,39000,2
